,issue,component_path,commit,LOC_change,is_test,parent,tag_commit,date_commit,tag_parent,module,fail_component,package,index_bug
0,8,src\java\org\apache\commons\compress\compressors\bzip2\BZip2OutputStream.java,88220840b463a195406648a93189f0321a5aa7e5,11111,0,38ba1e94d401742173dce1e9f6e51ba079a66efc,compress_sandbox_03_2009,2006-07-31 10:55:10,compress_sandbox_03_2009,,org.apache.commons.compress.compressors.bzip2.BZip2OutputStream,org.apache.commons.compress.compressors.bzip2,0
1,30,src\main\java\org\apache\commons\compress\archivers\tar\TarOutputStream.java,d1789e669d7abff2e9a8cf57110283d344d496cb,45,0,64eb32689dac0635530b704696d2b5eebecd47bb,compress_sandbox_03_2009,2009-01-07 12:52:42,compress_sandbox_03_2009,,org.apache.commons.compress.archivers.tar.TarOutputStream,org.apache.commons.compress.archivers.tar,1
2,262,src\main\java\org\apache\commons\compress\archivers\ArchiveStreamFactory.java,6a703234ab45b01ab1652e5e4b1607d8d586db98,681,0,c06ef18e89973b6c54f478f935fe2bf58c908ced,compress_sandbox_03_2009,2009-01-07 13:16:01,compress_sandbox_03_2009,,org.apache.commons.compress.archivers.ArchiveStreamFactory,org.apache.commons.compress.archivers,2
3,273,src\main\java\org\apache\commons\compress\archivers\tar\TarArchiveEntry.java,46ad24db76c6f65480736006c2da8b8e5bf8ee25,3763,0,726f6f25c5474a6ca67915c9e1e5684a049b520c,compress_sandbox_03_2009,2009-01-08 11:09:25,compress_sandbox_03_2009,,org.apache.commons.compress.archivers.tar.TarArchiveEntry,org.apache.commons.compress.archivers.tar,3
4,274,src\main\java\org\apache\commons\compress\archivers\ar\ArArchiveInputStream.java,72b8402659863a15c665241de57d5b8f773cf4a3,64,0,c19973704608d524361bcf52bb8eab5765489e55,compress_sandbox_03_2009,2009-01-09 09:31:02,compress_sandbox_03_2009,,org.apache.commons.compress.archivers.ar.ArArchiveInputStream,org.apache.commons.compress.archivers.ar,4
5,241,src\main\java\org\apache\commons\compress\archivers\cpio\CpioArchiveEntry.java,70c8320f7f592d325e8c89a294a1b2db70595f65,3004,0,01d395157e5ffbc15b6f7e265885d4b7635791d5,compress_sandbox_03_2009,2009-01-12 11:09:21,compress_sandbox_03_2009,,org.apache.commons.compress.archivers.cpio.CpioArchiveEntry,org.apache.commons.compress.archivers.cpio,5
6,248,src\main\java\org\apache\commons\compress\archivers\zip\ZipOutputStream.java,ab9ebfc83e6e741b1a4296c4c651ac2798f467f7,5355,0,70c8320f7f592d325e8c89a294a1b2db70595f65,compress_sandbox_03_2009,2009-01-12 11:15:34,compress_sandbox_03_2009,,org.apache.commons.compress.archivers.zip.ZipOutputStream,org.apache.commons.compress.archivers.zip,6
7,194,src\main\java\org\apache\commons\compress\compressors\bzip2\BZip2CompressorOutputStream.java,7b879e5f32093cef227f00ed9f0f6db21a0f9948,65,0,e190c403ff10f20fecc187e70cbf6b1390da27e9,compress_sandbox_03_2009,2009-01-12 11:31:06,compress_sandbox_03_2009,,org.apache.commons.compress.compressors.bzip2.BZip2CompressorOutputStream,org.apache.commons.compress.compressors.bzip2,7
8,289,src\main\java\org\apache\commons\compress\archivers\zip\ZipArchiveEntry.java,1903db40e53210537fd022ac5cd922323959ff0e,112,0,4e2380bd5925e436266865ebf988d8362b675cc6,compress_sandbox_03_2009,2009-02-18 15:52:42,compress_sandbox_03_2009,,org.apache.commons.compress.archivers.zip.ZipArchiveEntry,org.apache.commons.compress.archivers.zip,8
9,176,src\main\java\org\apache\commons\compress\archivers\zip\ZipEncodingHelper.java,853176f58997feb2fa6af5bd4ff442ab08d17ef8,1264,0,c3097e6019ef2b1b61b4a8f2d0fca6970f16a29a,compress_sandbox_03_2009,2009-03-02 16:09:20,compress_sandbox_03_2009,,org.apache.commons.compress.archivers.zip.ZipEncodingHelper,org.apache.commons.compress.archivers.zip,9
10,299,src\main\java\org\apache\commons\compress\archivers\ArchiveStreamFactory.java,c4a65f010e67c65f38d1f87f4d9a205c2d97e3c1,420,0,d5242521d59f5df6a227a4ac7b32694921bb888f,compress_sandbox_03_2009,2009-03-13 05:23:22,compress_sandbox_03_2009,,org.apache.commons.compress.archivers.ArchiveStreamFactory,org.apache.commons.compress.archivers,10
11,284,src\main\java\org\apache\commons\compress\archivers\tar\TarArchiveEntry.java,32eea1e611d66a3c1a6b1dc0b373a943614e5680,425,0,75f92f6341c243c5debffd25285222ca8e9589aa,compress_sandbox_03_2009,2009-03-17 12:53:22,compress_sandbox_03_2009,,org.apache.commons.compress.archivers.tar.TarArchiveEntry,org.apache.commons.compress.archivers.tar,11
12,294,src\main\java\org\apache\commons\compress\archivers\cpio\CpioArchiveOutputStream.java,41f4a20506449b0a9a5a7ac71d28f53f701b484b,955,0,b6363ff16e4746c4c4b85d3153b285866e348fcf,commons-compress-1.0,2009-03-20 15:42:37,commons-compress-1.0,,org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream,org.apache.commons.compress.archivers.cpio,12
13,28,src\main\java\org\apache\commons\compress\archivers\cpio\CpioArchiveOutputStream.java,004124ac5dbf5edbf925078652526267468821e7,162,0,728b4e814ec88cab556533fa114be0efdde963be,commons-compress-1.0,2009-03-26 10:36:45,commons-compress-1.0,,org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream,org.apache.commons.compress.archivers.cpio,13
14,55,src\main\java\org\apache\commons\compress\archivers\cpio\CpioArchiveInputStream.java,9fbe205eff8aa6f9a7a6e302094b3715e61da777,60,0,9a871026a65bfe0a51f94b05e51f2edc75315680,commons-compress-1.0,2009-03-26 20:46:31,commons-compress-1.0,,org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream,org.apache.commons.compress.archivers.cpio,14
15,11,src\main\java\org\apache\commons\compress\archivers\ar\ArArchiveInputStream.java,d09177b98f4e956c1d366110f73c3341ea110bee,303,0,1cde8827c953a56b2fcabad676f8cf2ddd6ec182,commons-compress-1.0,2009-03-30 16:31:15,commons-compress-1.0,,org.apache.commons.compress.archivers.ar.ArArchiveInputStream,org.apache.commons.compress.archivers.ar,15
16,60,src\main\java\org\apache\commons\compress\changes\ChangeSetPerformer.java,40e010931f91f4f2989fc5f892f990a8890808e1,654,0,63aa078caa660f235efb28e17b618411057ad8e1,commons-compress-1.0,2009-04-09 11:15:32,commons-compress-1.0,,org.apache.commons.compress.changes.ChangeSetPerformer,org.apache.commons.compress.changes,16
17,69,src\main\java\org\apache\commons\compress\compressors\bzip2\BZip2CompressorOutputStream.java,cf64557bb2e1db1c46158a28a0010f279708e3d6,155,0,3126e37959ab98759c5c6e6dca52e6afe857325b,commons-compress-1.0,2009-04-13 15:20:24,commons-compress-1.0,,org.apache.commons.compress.compressors.bzip2.BZip2CompressorOutputStream,org.apache.commons.compress.compressors.bzip2,17
18,64,src\main\java\org\apache\commons\compress\archivers\ArchiveOutputStream.java,6dfdfb5ddb465252644c6f80e6b13abfd211ef29,90,0,3608991616066c9c6dab1d19ca5591dc41a1360a,commons-compress-1.0,2009-04-22 05:19:58,commons-compress-1.0,,org.apache.commons.compress.archivers.ArchiveOutputStream,org.apache.commons.compress.archivers,18
19,63,src\main\java\org\apache\commons\compress\archivers\ar\ArArchiveInputStream.java,1c3003b74e86d716d9be3cb7363d9ba25889f10d,89,0,ce5fdc14713f1d0fe81b4ab6aeae09e788f044e0,commons-compress-1.0,2009-04-23 05:45:30,commons-compress-1.0,,org.apache.commons.compress.archivers.ar.ArArchiveInputStream,org.apache.commons.compress.archivers.ar,19
20,70,src\main\java\org\apache\commons\compress\archivers\zip\ZipArchiveInputStream.java,f84dd362bbf15c19cb5f3a3b4563951ba529f585,33,0,13b90aef6c0264b451333198911c69ae8c7f37e1,commons-compress-1.0,2009-04-28 08:31:15,commons-compress-1.0,,org.apache.commons.compress.archivers.zip.ZipArchiveInputStream,org.apache.commons.compress.archivers.zip,20
21,71,src\main\java\org\apache\commons\compress\archivers\tar\TarArchiveEntry.java,3bb9282d8876aff48148c25ec63536d352f775bf,10,0,f84dd362bbf15c19cb5f3a3b4563951ba529f585,commons-compress-1.0,2009-05-04 09:15:01,commons-compress-1.0,,org.apache.commons.compress.archivers.tar.TarArchiveEntry,org.apache.commons.compress.archivers.tar,21
22,86,src\main\java\org\apache\commons\compress\archivers\tar\TarArchiveEntry.java,7bb5d8862665e0cc60cee52d2b48ebbd7fca61fd,22,0,3e2ddad124ea6ab1bc690487793bf88560ca3732,commons-compress-1.1,2009-10-08 12:07:19,commons-compress-1.1,,org.apache.commons.compress.archivers.tar.TarArchiveEntry,org.apache.commons.compress.archivers.tar,22
