,issue,component_path,commit,LOC_change,is_test,parent,tag_commit,date_commit,tag_parent,module,fail_component,package,index_bug
0,3,src\main\java\org\apache\sanselan\Sanselan.java,2948feedd302caca9aa369ee873779aa5a999e8b,5961,0,bf0e85a964c3fb57aae9c6d5eb76fdb347b59694,sanselan-0.92-incubator,2008-05-25 13:57:43,sanselan-0.92-incubator,,org.apache.sanselan.Sanselan,org.apache.sanselan,0
1,5,src\main\java\org\apache\sanselan\formats\png\PngImageParser.java,eb2a160eeb4dfbb39aeecd4884a4b1bb72b6d953,2393,0,db977cc26c1e8adf60200dbaee4cf059285b23c2,sanselan-0.92-incubator,2008-07-15 22:31:25,sanselan-0.92-incubator,,org.apache.sanselan.formats.png.PngImageParser,org.apache.sanselan.formats.png,1
2,6,src\main\java\org\apache\sanselan\formats\tiff\TiffImageParser.java,95b2225998c94af2c82c148f4e8e999c7b214aa5,1476,0,beb25ccd75683c74e3918f09ebf08ac78821ca27,sanselan-0.95-incubator,2008-07-29 22:49:22,sanselan-0.95-incubator,,org.apache.sanselan.formats.tiff.TiffImageParser,org.apache.sanselan.formats.tiff,2
3,40,src\main\java\org\apache\sanselan\formats\ico\IcoImageParser.java,14a4f55f944950799f0b876afb6e5e83c304e355,2560,0,25bc8d413219fc98ef2dda679b3ea4c09c173d7f,commons-imaging-1.0-RC1,2010-09-09 17:45:11,commons-imaging-1.0-RC1,,org.apache.sanselan.formats.ico.IcoImageParser,org.apache.sanselan.formats.ico,3
4,39,src\main\java\org\apache\sanselan\common\byteSources\ByteSourceInputStream.java,60413039828de9660fb506c837539c279378991a,130,0,14a4f55f944950799f0b876afb6e5e83c304e355,commons-imaging-1.0-RC1,2010-09-09 18:09:20,commons-imaging-1.0-RC1,,org.apache.sanselan.common.byteSources.ByteSourceInputStream,org.apache.sanselan.common.byteSources,4
5,34,src\main\java\org\apache\sanselan\formats\tiff\fieldtypes\FieldTypeASCII.java,83a026a97934afe98260d7e1802d3885786284a3,32,0,60413039828de9660fb506c837539c279378991a,commons-imaging-1.0-RC1,2010-09-09 18:38:21,commons-imaging-1.0-RC1,,org.apache.sanselan.formats.tiff.fieldtypes.FieldTypeASCII,org.apache.sanselan.formats.tiff.fieldtypes,5
6,38,src\main\java\org\apache\sanselan\formats\jpeg\JpegImageMetadata.java,542efee6b54bb569d21d1506764bad0acfe4cf0f,81,0,9fc2d7b368c0e9d97234baa91b4a5e2663dad5ea,commons-imaging-1.0-RC1,2010-09-09 19:34:07,commons-imaging-1.0-RC1,,org.apache.sanselan.formats.jpeg.JpegImageMetadata,org.apache.sanselan.formats.jpeg,6
7,44,src\main\java\org\apache\sanselan\formats\jpeg\JpegImageMetadata.java,4eef8e2a310f44fcc7241ce10e052ceb0fdec3d5,67,0,34a4d606c12ddec3e9031f4c026504fd5eab0534,commons-imaging-1.0-RC1,2010-09-21 17:31:20,commons-imaging-1.0-RC1,,org.apache.sanselan.formats.jpeg.JpegImageMetadata,org.apache.sanselan.formats.jpeg,7
8,17,src\main\java\org\apache\sanselan\formats\jpeg\iptc\IPTCParser.java,d773c9d438d6d534fe71fe52970d14485ee9299e,42,0,69077ea1cf2d08da060354aac8c8c8bd0faa1ad7,commons-imaging-1.0-RC1,2010-09-21 18:07:01,commons-imaging-1.0-RC1,,org.apache.sanselan.formats.jpeg.iptc.IPTCParser,org.apache.sanselan.formats.jpeg.iptc,8
9,45,src\main\java\org\apache\sanselan\formats\icns\IcnsDecoder.java,9492b3cb0e323635ec1ce4b372c9f3281c6fd29c,2584,0,d773c9d438d6d534fe71fe52970d14485ee9299e,commons-imaging-1.0-RC1,2010-09-22 23:09:22,commons-imaging-1.0-RC1,,org.apache.sanselan.formats.icns.IcnsDecoder,org.apache.sanselan.formats.icns,9
