,issue,component_path,commit,LOC_change,is_test,parent,tag_commit,date_commit,tag_parent,module,fail_component,package,index_bug
0,346,src\java\org\apache\commons\lang\builder\ReflectionToStringBuilder.java,cd63d78c4adf4fab5bc09ee5dd5319c7e4cb1243,69,0,42a2549dc07e9e611ed439c5d2ee76238ab1bcae,LANG_2_0_RC2,2003-07-20 01:13:14,LANG_2_0_RC2,,org.apache.commons.lang.builder.ReflectionToStringBuilder,org.apache.commons.lang.builder,0
1,112,src\java\org\apache\commons\lang\time\FastDateFormat.java,2cf366c11a9f651a72df31f2841a910e8321dc9d,48,0,155533d20d212c99050e417906c5e1e02e098516,LANG_2_0_RC2,2003-07-20 01:21:29,LANG_2_0_RC2,,org.apache.commons.lang.time.FastDateFormat,org.apache.commons.lang.time,1
2,120,src\java\org\apache\commons\lang\builder\ReflectionToStringBuilder.java,74548d494beb8c9bf6a31d549c8f0f1c94924d3f,3753,0,264763fd844f986d378bb4e1bdae40795410f844,LANG_2_1_RC1,2003-12-29 01:47:02,LANG_2_1_RC1,,org.apache.commons.lang.builder.ReflectionToStringBuilder,org.apache.commons.lang.builder,2
3,28,src\java\org\apache\commons\lang\time\DurationFormatUtils.java,177d40989f45197fd9f9669f4eeb6033b73bc16e,540,0,fc447adfef826f1c27650c3d3129d40754fa4a89,LANG_2_1_RC1,2004-09-27 03:14:15,LANG_2_1_RC1,,org.apache.commons.lang.time.DurationFormatUtils,org.apache.commons.lang.time,3
4,4,src\java\org\apache\commons\lang\time\DurationFormatUtils.java,f80cb56da1316d5cb977c07937c2794efc87a522,251,0,3424e42050708eafe3b41b78c9ad2d3d2d82c0e2,LANG_2_1_RC1,2004-09-27 04:49:07,LANG_2_1_RC1,,org.apache.commons.lang.time.DurationFormatUtils,org.apache.commons.lang.time,4
5,934,src\java\org\apache\commons\lang\text\Interpolation.java,7952a5525444ab03243a9f80375050caf2419770,809,0,cbb4f55bff3d86f5797f9efbef27c6866511547e,LANG_2_2_RC1,2005-07-23 21:48:28,LANG_2_2_RC1,,org.apache.commons.lang.text.Interpolation,org.apache.commons.lang.text,5
6,1,src\java\org\apache\commons\lang\ArrayUtils.java,3eebd98b548fc960a7cd9d14eb0771b14615e9a1,3121,0,12491a6801249b2a582a231b1a40e17b401cc413,LANG_2_2_RC1,2006-04-17 06:06:52,LANG_2_2_RC1,,org.apache.commons.lang.ArrayUtils,org.apache.commons.lang,6
7,264,src\java\org\apache\commons\lang\builder\HashCodeBuilder.java,cac478de5157f5cb31b6669c477a9dc760f1e5bb,8,0,d3c425d6f1281d9387f5b80836ce855bc168453d,LANG_2_2_RC1,2006-06-22 23:03:20,LANG_2_2_RC1,,org.apache.commons.lang.builder.HashCodeBuilder,org.apache.commons.lang.builder,7
8,66,src\java\org\apache\commons\lang\StringEscapeUtils.java,7f8f3da321c31cf285a40501d43bb2e97cba7b01,62,0,594ec5482d10e52464313b2e1fc61ae9b787cb24,LANG_2_2_RC1,2006-07-03 19:11:02,LANG_2_2_RC1,,org.apache.commons.lang.StringEscapeUtils,org.apache.commons.lang,8
9,272,src\java\org\apache\commons\lang\text\StrBuilder.java,b9b6b027db0cbfbe3973fa74af3aebec4647cfd9,192,0,33c8a328305592d5998ade8241d19fd65573e627,LANG_2_2_RC1,2006-07-10 11:23:57,LANG_2_2_RC1,,org.apache.commons.lang.text.StrBuilder,org.apache.commons.lang.text,9
10,259,src\java\org\apache\commons\lang\enums\ValuedEnum.java,07b7795b336b301def8a7dc6059c8e616ce5582e,199,0,d9c6932a6e2b27d56ebb665c152f9f7dca759a8a,LANG_2_2_RC1,2006-08-18 22:21:47,LANG_2_2_RC1,,org.apache.commons.lang.enums.ValuedEnum,org.apache.commons.lang.enums,10
11,277,src\java\org\apache\commons\lang\StringUtils.java,462a89b82ee3e5fd5d6f69289297f77df83f689a,12,0,d829770690b130316a1e0471ff0d107acd461cdc,LANG_2_2_RC1,2006-08-30 18:22:12,LANG_2_2_RC1,,org.apache.commons.lang.StringUtils,org.apache.commons.lang,11
12,278,src\java\org\apache\commons\lang\StringUtils.java,ba57d261f1dfa1926e6bea34726e396865b0411c,12,0,66704164a0152a40cb8d72d5524af365ff34f083,LANG_2_2_RC1,2006-09-12 15:29:31,LANG_2_2_RC1,,org.apache.commons.lang.StringUtils,org.apache.commons.lang,12
13,262,src\java\org\apache\commons\lang\enum\Enum.java,116463ba4f988ad7dda289bf6e2ff53c6570f0ef,14,0,9926c441aefc148b08a5a3ef077097cefcc3f16c,LANG_2_3_RC1,2006-09-19 21:20:56,LANG_2_3_RC1,,org.apache.commons.lang.enum.Enum,org.apache.commons.lang.enum,13
14,279,src\java\org\apache\commons\lang\builder\HashCodeBuilder.java,b33bbaa7c84bcc8a5ccaac35cfe4a42b8558add8,5510,0,116463ba4f988ad7dda289bf6e2ff53c6570f0ef,LANG_2_3_RC1,2006-09-19 21:58:11,LANG_2_3_RC1,,org.apache.commons.lang.builder.HashCodeBuilder,org.apache.commons.lang.builder,14
15,281,src\java\org\apache\commons\lang\time\DurationFormatUtils.java,1d5c03fac601d6ce291c3fe3e5e51a11881e2fc0,205,0,e91541fcbd89dc0567281127c950a8d9ead7189b,LANG_2_3_RC1,2006-10-07 00:22:42,LANG_2_3_RC1,,org.apache.commons.lang.time.DurationFormatUtils,org.apache.commons.lang.time,15
16,295,src\java\org\apache\commons\lang\text\StrBuilder.java,1a158281aa058ee2dc9cfae3b56012a9f92f3b2b,24,0,8e52e2169b20f7bc3c6c520d4f0c98e5bf06b076,LANG_2_3_RC1,2006-10-31 23:00:54,LANG_2_3_RC1,,org.apache.commons.lang.text.StrBuilder,org.apache.commons.lang.text,16
17,299,src\java\org\apache\commons\lang\text\StrBuilder.java,9b0b19a9162ae8d217b06716962b982703ab4d1b,10,0,aaaa779108e445c028e91372a8c8709c7746cf72,LANG_2_3_RC1,2006-12-12 22:34:39,LANG_2_3_RC1,,org.apache.commons.lang.text.StrBuilder,org.apache.commons.lang.text,17
18,300,src\java\org\apache\commons\lang\NumberUtils.java,15360774099b2a7230e020751acdf6979b6e3f58,15,0,868dd284443b6f950a2f360b0422dbf09a599ae9,LANG_2_3_RC1,2006-12-19 21:50:04,LANG_2_3_RC1,,org.apache.commons.lang.NumberUtils,org.apache.commons.lang,18
19,11,src\java\org\apache\commons\lang\time\DurationFormatUtils.java,4f514d5eb3e80703012df9be190ae42d35d25bdc,570,0,381ed0c0f6016993a81563edc857d3235daafea3,LANG_2_3_RC1,2006-12-20 06:10:26,LANG_2_3_RC1,,org.apache.commons.lang.time.DurationFormatUtils,org.apache.commons.lang.time,19
20,304,src\java\org\apache\commons\lang\LocaleUtils.java,cf20d13c64da51becd1351befe02a06144fd6fc1,10,0,848a8144bc42fddbbc466a38a897f5c09f0d49e2,LANG_2_3_RC1,2006-12-22 20:34:37,LANG_2_3_RC1,,org.apache.commons.lang.LocaleUtils,org.apache.commons.lang,20
21,301,src\java\org\apache\commons\lang\text\StrTokenizer.java,640d7cf079ccdb35d92d2c598cc9502124635520,8,0,a9ff534b3686e649062b04ad519a9e8b09a9f76c,LANG_2_3_RC1,2006-12-29 17:55:32,LANG_2_3_RC1,,org.apache.commons.lang.text.StrTokenizer,org.apache.commons.lang.text,21
22,315,src\java\org\apache\commons\lang\time\StopWatch.java,b16235ad108c4fcdb7117493394d26d2f0faeace,20,0,de4952beaffe469b05f545b90344675e1889cb48,LANG_2_3_RC2,2007-02-06 22:49:50,LANG_2_3_RC2,,org.apache.commons.lang.time.StopWatch,org.apache.commons.lang.time,22
23,328,src\java\org\apache\commons\lang\LocaleUtils.java,75d931a3264b73caa9cdd7d3373375cc33008ddf,17,0,77a3c20bc0f30ca44f30aadad7f8ef0bc2528d0b,LANG_2_4_RC1,2007-05-01 23:50:01,LANG_2_4_RC1,,org.apache.commons.lang.LocaleUtils,org.apache.commons.lang,23
24,342,src\java\org\apache\commons\lang\builder\HashCodeBuilder.java,7fc38e82ece99ff4043626ba19b293fc7af86264,27,0,2730ae5394f74268d01bda5a0489ea3204744b9f,LANG_2_4_RC1,2007-08-09 00:29:21,LANG_2_4_RC1,,org.apache.commons.lang.builder.HashCodeBuilder,org.apache.commons.lang.builder,24
25,334,src\java\org\apache\commons\lang\enums\Enum.java,60fe05eb7a32a4a178f4212da6a812c80cedce82,125,0,2ca0eff93cff4f4897d9346fe52fa59961f73352,LANG_2_4_RC1,2007-09-05 10:13:49,LANG_2_4_RC1,,org.apache.commons.lang.enums.Enum,org.apache.commons.lang.enums,25
26,361,src\java\org\apache\commons\lang\BooleanUtils.java,1cc66e3095828e364dd87721cf8b42636e35f011,25,0,bb7110e108f0ba4853070e1a5329ad5b2824b4f1,LANG_2_4_RC1,2007-10-23 05:31:58,LANG_2_4_RC1,,org.apache.commons.lang.BooleanUtils,org.apache.commons.lang,26
27,364,src\java\org\apache\commons\lang\text\StrTokenizer.java,ed7e9b43494e490a51c25c410b2950005fd685ea,24,0,1cc66e3095828e364dd87721cf8b42636e35f011,LANG_2_4_RC1,2007-10-25 06:25:02,LANG_2_4_RC1,,org.apache.commons.lang.text.StrTokenizer,org.apache.commons.lang.text,27
