,issue,component_path,commit,LOC_change,is_test,parent,tag_commit,date_commit,tag_parent,module,fail_component,package,index_bug
0,12,src\java\org\apache\commons\math\BivariateRegression.java,57b9151881e65daee41519f486cb8431d35955bd,2089,0,b84e61ffcf873ef8d588ca3adce2bcd3c7406905,MATH_1_0_RC1,2003-05-26 02:11:50,MATH_1_0_RC1,,org.apache.commons.math.BivariateRegression,org.apache.commons.math,0
1,100,src\java\org\apache\commons\math\BeanListUnivariateImpl.java,c9fc45757a05ff6816ce8e1baa46fe62d6a0f5ae,589,0,3cb56af4e4e75c766a9f444121a908cd6aca6f95,MATH_1_0_RC1,2003-05-29 19:41:32,MATH_1_0_RC1,,org.apache.commons.math.BeanListUnivariateImpl,org.apache.commons.math,1
2,10,src\java\org\apache\commons\math\complex\ComplexFormat.java,ec5fb0ca3db15f22e2fe8b9aba880c2ff313bfab,469,0,19080d7f0908190fb54eb6685b92d0c210a1a6f8,MATH_1_0_RC1,2004-01-29 04:32:27,MATH_1_0_RC1,,org.apache.commons.math.complex.ComplexFormat,org.apache.commons.math.complex,2
3,60,src\java\org\apache\commons\math\fraction\ProperFractionFormat.java,9ebfb870a2edb2fbf2741928efc53c2deb352e90,103,0,445d94e08d2e81d972f2ecbf85aaa52304f36e4d,MATH_1_2_RC1,2006-06-05 03:06:52,MATH_1_2_RC1,,org.apache.commons.math.fraction.ProperFractionFormat,org.apache.commons.math.fraction,3
4,151,src\java\org\apache\commons\math\util\MathUtils.java,7ec35cf7f5d760cb6b31928c2622d528af11e406,420,0,3ebd273440c9854c36b635169c96202437c99b33,MATH_1_2_RC1,2006-07-04 08:09:25,MATH_1_2_RC1,,org.apache.commons.math.util.MathUtils,org.apache.commons.math.util,4
5,85,src\java\org\apache\commons\math\stat\regression\SimpleRegression.java,075008dcd42adcc6924d048a376e611f9219e52b,85,0,00b139a1c49c230bfb7b0f1ec5b8c22d560d3447,MATH_1_2_RC1,2006-07-06 05:10:49,MATH_1_2_RC1,,org.apache.commons.math.stat.regression.SimpleRegression,org.apache.commons.math.stat.regression,5
6,7,src\mantissa\tests-src\org\spaceroots\mantissa\estimation\LevenbergMarquardtEstimatorTest.java,cc73bfb42fa86c01e37a1b7021b1ab41e0f0cb63,8053,0,8242bc26448f3d92ecc0e16fbc8b57dda9295e41,MATH_1_2_RC1,2006-12-19 22:11:07,MATH_1_2_RC1,,org.spaceroots.mantissa.estimation.LevenbergMarquardtEstimatorTest,org.spaceroots.mantissa.estimation,6
7,153,src\java\org\apache\commons\math\random\RandomDataImpl.java,409d56d206891f76a3e751e4dcdcd22a8c898acc,30,0,55b2cc8c039d659da8f4d8af332814043d084a3b,MATH_1_2_RC1,2007-04-05 15:19:57,MATH_1_2_RC1,,org.apache.commons.math.random.RandomDataImpl,org.apache.commons.math.random,7
8,163,src\java\org\apache\commons\math\stat\descriptive\moment\Variance.java,739ed17f8cbdb9f0d3ad962c8bd13a89cb88cf67,148,0,a012ec83ecd0d13fd7ba250da322a6183adb45aa,MATH_1_2_RC1,2007-06-11 04:42:56,MATH_1_2_RC1,,org.apache.commons.math.stat.descriptive.moment.Variance,org.apache.commons.math.stat.descriptive.moment,8
9,166,src\java\org\apache\commons\math\special\Beta.java,35414bc4f4ef03ef12e99c027398e5dc84682a9e,8,0,5bc120c5dff3cdc44f9168800a9d0a1fa538e44d,MATH_1_2_RC1,2007-06-20 22:24:04,MATH_1_2_RC1,,org.apache.commons.math.special.Beta,org.apache.commons.math.special,9
10,175,src\java\org\apache\commons\math\stat\inference\ChiSquareTestImpl.java,a3dc59a94da24e46c252453f08c4b4b4a91c3ce7,170,0,fb4949bd078ab201835dc932eec27557f0b9102a,MATH_1_2_RC1,2008-01-09 05:16:00,MATH_1_2_RC1,,org.apache.commons.math.stat.inference.ChiSquareTestImpl,org.apache.commons.math.stat.inference,10
11,182,src\java\org\apache\commons\math\fraction\Fraction.java,9fec47b79bbb40a78eb79e5a66716697c91ae0be,183,0,630d9afa3cca0413fff0ec8bdac471b1a171bbfc,MATH_1_2_RC1,2008-02-01 12:02:12,MATH_1_2_RC1,,org.apache.commons.math.fraction.Fraction,org.apache.commons.math.fraction,11
12,185,src\java\org\apache\commons\math\random\ValueServer.java,0152e67e9eb57de2da0df28f396c9e36cd6e12c4,49,0,812b7db1748037bce86a5f87620eb16e38703be1,MATH_1_2_RC1,2008-02-02 18:01:29,MATH_1_2_RC1,,org.apache.commons.math.random.ValueServer,org.apache.commons.math.random,12
13,183,src\java\org\apache\commons\math\stat\descriptive\SynchronizedSummaryStatistics.java,7258df6db3ca8c5dfe318253a951a0d532132c26,562,0,67e1e4b48e3319dfbe07b75d5589e6261ba9688a,MATH_1_2_RC1,2008-02-03 21:39:08,MATH_1_2_RC1,,org.apache.commons.math.stat.descriptive.SynchronizedSummaryStatistics,org.apache.commons.math.stat.descriptive,13
