,issue,component_path,commit,LOC_change,is_test,parent,tag_commit,date_commit,tag_parent,module,fail_component,package,index_bug
0,59,opennlp-tools\src\main\java\opennlp\tools\util\eval\FMeasure.java,e4c6cef1e2b205dc562246b58cf6cb45f6f33505,148,0,2dbb18cec757d3ed352d59a19cd4e9d4461bebfe,opennlp-1.5.1-incubating-rc1,2011-01-05 16:44:58,opennlp-1.5.1-incubating-rc1,,opennlp.tools.util.eval.FMeasure,opennlp.tools.util.eval,0
1,90,opennlp-tools\src\main\java\opennlp\tools\chunker\ChunkerME.java,efee85ae8aa91536ac650ba816d3edcc8bd8e7e1,20,0,9b93e11daaa29542e930ff96d27bb955b0186fa9,opennlp-1.5.1-incubating-rc1,2011-01-25 23:23:18,opennlp-1.5.1-incubating-rc1,,opennlp.tools.chunker.ChunkerME,opennlp.tools.chunker,1
2,138,opennlp-tools\src\main\java\opennlp\tools\namefind\NameFinderME.java,4991c2e7711929d185396135a69808455465c4c7,40,0,112ea738148f1371a18b2a4d78f577bcc395c430,opennlp-1.5.1-incubating-rc2,2011-03-01 12:25:24,opennlp-1.5.1-incubating-rc2,,opennlp.tools.namefind.NameFinderME,opennlp.tools.namefind,2
3,149,opennlp-tools\src\main\java\opennlp\tools\cmdline\postag\TrainingParameters.java,d274f42c5a77011be9c01874bc6efd438cf59010,8,0,5fd9ee61d5491040c46b6285e9cfaa53293d0179,opennlp-1.5.1-incubating-rc6,2011-03-31 14:21:07,opennlp-1.5.1-incubating-rc6,,opennlp.tools.cmdline.postag.TrainingParameters,opennlp.tools.cmdline.postag,3
4,154,opennlp-maxent\src\main\java\opennlp\perceptron\PerceptronTrainer.java,da3bc9faef80e45273992c4c6ac3abc04503cf13,925,0,ea6e91ce6061895d8818de085161adc6e814151f,opennlp-1.5.1-incubating-rc7,2011-04-14 03:38:36,opennlp-1.5.1-incubating-rc7,,opennlp.perceptron.PerceptronTrainer,opennlp.perceptron,4
5,161,opennlp-tools\src\main\java\opennlp\tools\cmdline\sentdetect\SentenceDetectorEvaluatorTool.java,3acf8fb2b9bb43227676ad44542ea13ecbbe81d1,8,0,197eeea2c6bb0e829cfc899c21f4509134ab4b9c,opennlp-1.5.2-incubating-rc1,2011-04-30 15:53:36,opennlp-1.5.2-incubating-rc1,,opennlp.tools.cmdline.sentdetect.SentenceDetectorEvaluatorTool,opennlp.tools.cmdline.sentdetect,5
6,171,opennlp-tools\src\main\java\opennlp\tools\dictionary\serializer\DictionarySerializer.java,03cdba6f509bc9eb53c148913f37dee0aadcb131,14,0,c5aea369bbeead39fe0894b46da5355e07c9fb89,opennlp-1.5.2-incubating-rc1,2011-05-12 12:39:40,opennlp-1.5.2-incubating-rc1,,opennlp.tools.dictionary.serializer.DictionarySerializer,opennlp.tools.dictionary.serializer,6
7,185,opennlp-maxent\src\main\java\opennlp\perceptron\SimplePerceptronSequenceTrainer.java,a10dbfd55375ec09cddb7be2d7c617bf40bde404,60,0,e680a4789d67a9afa19d4e2c1d352d2d414aba17,opennlp-1.5.2-incubating-rc1,2011-05-24 18:20:24,opennlp-1.5.2-incubating-rc1,,opennlp.perceptron.SimplePerceptronSequenceTrainer,opennlp.perceptron,7
8,127,opennlp-tools\src\main\java\opennlp\tools\postag\POSModel.java,c15a23c8aa2ab03729242a65f85ec9916587dce8,152,0,edd04527237fb8a0ae0b5ef0d85ab720291acf7d,opennlp-1.5.2-incubating-rc1,2011-05-30 08:28:15,opennlp-1.5.2-incubating-rc1,,opennlp.tools.postag.POSModel,opennlp.tools.postag,8
9,196,opennlp-tools\src\main\java\opennlp\tools\postag\POSSampleSequenceStream.java,13d45d8ad6b56e089199e96f100eb90e876d53ea,16,0,1de2f031092dfb1e979a4935ebcbf28ca7135e2a,opennlp-1.5.2-incubating-rc1,2011-06-06 10:29:35,opennlp-1.5.2-incubating-rc1,,opennlp.tools.postag.POSSampleSequenceStream,opennlp.tools.postag,9
